Removed Pin From Net: NetName=NetU5_2 Pin=XTAL2-1
Change Component Footprint: Designator=XTAL2 Old Footprint=OSC-TH_BD2.0-P0.70-D0.3 New Footprint=R38
Change component parameters: Designator = "U4" ("U4"); Footprint = "5MM LED"; UniqueID = "\gge159be66ecd0c5436" ("\gge159be66ecd0c5436")
Change component parameters: Designator = "H1" ("H1"); Footprint = "HDR-TH_7P-P1.27-V-M"; UniqueID = "\gge63ba1d8c7b7799f8" ("\gge63ba1d8c7b7799f8")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "XFCN(????)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "PZ127V-11-07-H25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C2832274"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "H"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "PZ127V-11-07-H25"; VariantName = "[No Variations]"
Change component parameters: Designator = "H2" ("H2"); Footprint = "HDR-TH_4P-P2.00-V-M"; UniqueID = "\ggee83facfc57ee8ff0" ("\ggee83facfc57ee8ff0")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "XFCN(????)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MH200V-11-04-1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C2839989"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "H"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "MH200V-11-04-1000"; VariantName = "[No Variations]"
Change component parameters: Designator = "H3" ("H3"); Footprint = "HDR-TH_6P-P2.54-H-F-W5.7"; UniqueID = "\ggebf5fa9e2434ee3f2" ("\ggebf5fa9e2434ee3f2")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "TXGA(???)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "FFH25402-S06B1001K6K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C2833720"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "H"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "FFH25402-S06B1001K6K"; VariantName = "[No Variations]"
Change component parameters: Designator = "KEY1" ("KEY1"); Footprint = "KEY-TH_4P-L6.0-W6.0-P4.50"; UniqueID = "\gge331946774699cad3" ("\gge331946774699cad3")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "button6*6*8.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C59980"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "http://image.lceda.cn/szlcsc/C59980.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Push_Button"; VariantName = "[No Variations]"
Change component parameters: Designator = "KEY2" ("KEY2"); Footprint = "KEY-TH_4P-L6.0-W6.0-P4.50"; UniqueID = "\ggec593ba619a471b41" ("\ggec593ba619a471b41")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "button6*6*8.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C59980"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "http://image.lceda.cn/szlcsc/C59980.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Push_Button"; VariantName = "[No Variations]"
Change component parameters: Designator = "KEY3" ("KEY3"); Footprint = "KEY-TH_4P-L6.0-W6.0-P4.50"; UniqueID = "\gge4e2568f0ea2c3a96" ("\gge4e2568f0ea2c3a96")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "button6*6*8.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C59980"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "http://image.lceda.cn/szlcsc/C59980.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Push_Button"; VariantName = "[No Variations]"
Change component parameters: Designator = "KEY4" ("KEY4"); Footprint = "KEY-TH_4P-L6.0-W6.0-P4.50"; UniqueID = "\ggeaceef82f86e9237e" ("\ggeaceef82f86e9237e")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "button6*6*8.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C59980"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "http://image.lceda.cn/szlcsc/C59980.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Push_Button"; VariantName = "[No Variations]"
Change component parameters: Designator = "KEY5" ("KEY5"); Footprint = "KEY-TH_4P-L6.0-W6.0-P4.50"; UniqueID = "\gge71e9ae1e908d9bec" ("\gge71e9ae1e908d9bec")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "button6*6*8.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C59980"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "http://image.lceda.cn/szlcsc/C59980.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Push_Button"; VariantName = "[No Variations]"
Change component parameters: Designator = "VR1" ("VR1"); Footprint = "RES-ADJ-TH_3296W"; UniqueID = "\ggefed618285bf45211" ("\ggefed618285bf45211")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "Pot-100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C13649"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Resistance(Ohms)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Pot-100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "VR2" ("VR2"); Footprint = "RES-ADJ-TH_3296W"; UniqueID = "\gge1bd5cfc86fcd5fbc" ("\gge1bd5cfc86fcd5fbc")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ReliaPro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "Pot-100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C13649"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Resistance(Ohms)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Pot-100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1" ("C1"); Footprint = "RAD-0.2"; UniqueID = "\gge011f127f8dfcc222" ("\gge011f127f8dfcc222")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0.1UF(104) +-20% 63v"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C19355"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "RAD-0.2"; UniqueID = "\ggeec973369f85ca921" ("\ggeec973369f85ca921")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0.1UF(104) +-20% 63v"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C19355"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "TO-220-3_L10.0-W4.5-P2.54-L"; UniqueID = "\gge26b7b337473930e2" ("\gge26b7b337473930e2")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "Foshan Blue Rocket Elec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "7805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C305416"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "7805_Regulator"; VariantName = "[No Variations]"
Change component parameters: Designator = "JST1" ("JST1"); Footprint = "CONN-TH_XHB-2A"; UniqueID = "\ggeb21b9bee883b4e3f" ("\ggeb21b9bee883b4e3f")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "BOOMELE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "XHB-2A Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C57981"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "//image.lceda.cn/szlcsc/C57981.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "JST_2 PIN"; VariantName = "[No Variations]"
Change component parameters: Designator = "JST2" ("JST2"); Footprint = "CONN-TH_XHB-2A"; UniqueID = "\ggea74392a824977657" ("\ggea74392a824977657")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "BOOMELE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "XHB-2A Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C57981"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "//image.lceda.cn/szlcsc/C57981.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "JST_2 PIN"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "CAP-TH_BD5.0-P2.00-D0.8-FD"; UniqueID = "\gge14d5980af49743df" ("\gge14d5980af49743df")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ValuePro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0.1UF 50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C28061"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0.1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C4" ("C4"); Footprint = "CAP-TH_BD5.0-P2.00-D0.8-FD"; UniqueID = "\gge268bde93cabb2f56" ("\gge268bde93cabb2f56")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ValuePro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0.1UF 50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C28061"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0.1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP-TH_BD5.0-P2.00-D0.8-FD"; UniqueID = "\ggedb22497a6ebb7a0f" ("\ggedb22497a6ebb7a0f")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ValuePro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0.1UF 50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C28061"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0.1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "CAP-TH_BD5.0-P2.00-D0.8-FD"; UniqueID = "\ggef43df14c4b43e70b" ("\ggef43df14c4b43e70b")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "ValuePro"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0.1UF 50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C28061"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0.1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "XTAL1" ("XTAL1"); Footprint = "16MHZ_OSC [PCB]"; UniqueID = "\ggebb4ab5a2b1ccc171" ("\ggebb4ab5a2b1ccc171")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "SHIVRAM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "0SC-16MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "SHIVRAM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "0SC-16MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "Mantas Petrauskas"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Frequency"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "Crystal Oscillator"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "AXIAL-0.4"; UniqueID = "\ggeb562732f0cbdfdd3" ("\ggeb562732f0cbdfdd3")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "AXIAL-0.4"; UniqueID = "\gge76f6c5e01aabb9a6" ("\gge76f6c5e01aabb9a6")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3" ("R3"); Footprint = "AXIAL-0.4"; UniqueID = "\ggeacb59b27d295fde0" ("\ggeacb59b27d295fde0")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "AXIAL-0.4"; UniqueID = "\gge3eeda26e2b02c3b5" ("\gge3eeda26e2b02c3b5")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "AXIAL-0.4"; UniqueID = "\gge98c1641980e6cf9c" ("\gge98c1641980e6cf9c")
